match_id,inning,batting_team,bowling_team,over,ball,batsman,non_striker,bowler,is_super_over,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,batsman_runs,extra_runs,total_runs,player_dismissed,dismissal_kind,fielder
1,1,Chennai Super Kings,Royal Challengers Bangalore,0,1,RD Gaikwad,Rachin Ravindra,RM Patidar,0,0,0,0,0,0,1,0,1,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,0,2,Rachin Ravindra,D Conway,V Kohli,0,0,0,0,0,0,2,0,2,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,0,3,D Conway,RD Gaikwad,F du Plessis,0,0,0,0,0,0,0,0,0,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,0,4,RD Gaikwad,Rachin Ravindra,RM Patidar,0,0,0,0,0,0,4,0,4,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,0,5,Rachin Ravindra,D Conway,V Kohli,0,0,0,0,0,0,1,0,1,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,0,6,D Conway,RD Gaikwad,F du Plessis,0,0,0,0,0,0,6,0,6,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,1,1,RD Gaikwad,Rachin Ravindra,RM Patidar,0,0,0,0,0,0,1,0,1,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,1,2,Rachin Ravindra,D Conway,V Kohli,0,0,0,0,0,0,2,0,2,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,1,3,D Conway,RD Gaikwad,F du Plessis,0,0,0,0,0,0,0,0,0,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,1,4,RD Gaikwad,Rachin Ravindra,RM Patidar,0,0,0,0,0,0,4,0,4,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,1,5,Rachin Ravindra,D Conway,V Kohli,0,0,0,0,0,0,1,0,1,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,1,6,D Conway,RD Gaikwad,F du Plessis,0,0,0,0,0,0,6,0,6,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,2,1,RD Gaikwad,Rachin Ravindra,RM Patidar,0,0,0,0,0,0,1,0,1,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,2,2,Rachin Ravindra,D Conway,V Kohli,0,0,0,0,0,0,2,0,2,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,2,3,D Conway,RD Gaikwad,F du Plessis,0,0,0,0,0,0,0,0,0,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,2,4,RD Gaikwad,Rachin Ravindra,RM Patidar,0,0,0,0,0,0,4,0,4,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,2,5,Rachin Ravindra,D Conway,V Kohli,0,0,0,0,0,0,1,0,1,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,2,6,D Conway,RD Gaikwad,F du Plessis,0,0,0,0,0,0,6,0,6,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,3,1,RD Gaikwad,Rachin Ravindra,RM Patidar,0,0,0,0,0,0,1,0,1,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,3,2,Rachin Ravindra,D Conway,V Kohli,0,0,0,0,0,0,2,0,2,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,3,3,D Conway,RD Gaikwad,F du Plessis,0,0,0,0,0,0,0,0,0,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,3,4,RD Gaikwad,Rachin Ravindra,RM Patidar,0,0,0,0,0,0,4,0,4,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,3,5,Rachin Ravindra,D Conway,V Kohli,0,0,0,0,0,0,1,0,1,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,3,6,D Conway,RD Gaikwad,F du Plessis,0,0,0,0,0,0,6,0,6,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,4,1,RD Gaikwad,Rachin Ravindra,RM Patidar,0,0,0,0,0,0,1,0,1,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,4,2,Rachin Ravindra,D Conway,V Kohli,0,0,0,0,0,0,2,0,2,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,4,3,D Conway,RD Gaikwad,F du Plessis,0,0,0,0,0,0,0,0,0,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,4,4,RD Gaikwad,Rachin Ravindra,RM Patidar,0,0,0,0,0,0,4,0,4,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,4,5,Rachin Ravindra,D Conway,V Kohli,0,0,0,0,0,0,1,0,1,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,4,6,D Conway,RD Gaikwad,F du Plessis,0,0,0,0,0,0,6,0,6,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,5,1,RD Gaikwad,Rachin Ravindra,RM Patidar,0,0,0,0,0,0,1,0,1,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,5,2,Rachin Ravindra,D Conway,V Kohli,0,0,0,0,0,0,2,0,2,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,5,3,D Conway,RD Gaikwad,F du Plessis,0,0,0,0,0,0,0,0,0,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,5,4,RD Gaikwad,Rachin Ravindra,RM Patidar,0,0,0,0,0,0,4,0,4,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,5,5,Rachin Ravindra,D Conway,V Kohli,0,0,0,0,0,0,1,0,1,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,5,6,D Conway,RD Gaikwad,F du Plessis,0,0,0,0,0,0,6,0,6,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,6,1,RD Gaikwad,Rachin Ravindra,RM Patidar,0,0,0,0,0,0,1,0,1,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,6,2,Rachin Ravindra,D Conway,V Kohli,0,0,0,0,0,0,2,0,2,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,6,3,D Conway,RD Gaikwad,F du Plessis,0,0,0,0,0,0,0,0,0,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,6,4,RD Gaikwad,Rachin Ravindra,RM Patidar,0,0,0,0,0,0,4,0,4,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,6,5,Rachin Ravindra,D Conway,V Kohli,0,0,0,0,0,0,1,0,1,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,6,6,D Conway,RD Gaikwad,F du Plessis,0,0,0,0,0,0,6,0,6,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,7,1,RD Gaikwad,Rachin Ravindra,RM Patidar,0,0,0,0,0,0,1,0,1,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,7,2,Rachin Ravindra,D Conway,V Kohli,0,0,0,0,0,0,2,0,2,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,7,3,D Conway,RD Gaikwad,F du Plessis,0,0,0,0,0,0,0,0,0,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,7,4,RD Gaikwad,Rachin Ravindra,RM Patidar,0,0,0,0,0,0,4,0,4,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,7,5,Rachin Ravindra,D Conway,V Kohli,0,0,0,0,0,0,1,0,1,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,7,6,D Conway,RD Gaikwad,F du Plessis,0,0,0,0,0,0,6,0,6,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,8,1,RD Gaikwad,Rachin Ravindra,RM Patidar,0,0,0,0,0,0,1,0,1,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,8,2,Rachin Ravindra,D Conway,V Kohli,0,0,0,0,0,0,2,0,2,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,8,3,D Conway,RD Gaikwad,F du Plessis,0,0,0,0,0,0,0,0,0,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,8,4,RD Gaikwad,Rachin Ravindra,RM Patidar,0,0,0,0,0,0,4,0,4,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,8,5,Rachin Ravindra,D Conway,V Kohli,0,0,0,0,0,0,1,0,1,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,8,6,D Conway,RD Gaikwad,F du Plessis,0,0,0,0,0,0,6,0,6,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,9,1,RD Gaikwad,Rachin Ravindra,RM Patidar,0,0,0,0,0,0,1,0,1,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,9,2,Rachin Ravindra,D Conway,V Kohli,0,0,0,0,0,0,2,0,2,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,9,3,D Conway,RD Gaikwad,F du Plessis,0,0,0,0,0,0,0,0,0,RD Gaikwad,caught,
1,1,Chennai Super Kings,Royal Challengers Bangalore,9,4,RD Gaikwad,Rachin Ravindra,RM Patidar,0,0,0,0,0,0,4,0,4,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,9,5,Rachin Ravindra,D Conway,V Kohli,0,0,0,0,0,0,1,0,1,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,9,6,D Conway,RD Gaikwad,F du Plessis,0,0,0,0,0,0,6,0,6,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,10,1,RD Gaikwad,Rachin Ravindra,RM Patidar,0,0,0,0,0,0,1,0,1,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,10,2,Rachin Ravindra,D Conway,V Kohli,0,0,0,0,0,0,2,0,2,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,10,3,D Conway,RD Gaikwad,F du Plessis,0,0,0,0,0,0,0,0,0,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,10,4,RD Gaikwad,Rachin Ravindra,RM Patidar,0,0,0,0,0,0,4,0,4,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,10,5,Rachin Ravindra,D Conway,V Kohli,0,0,0,0,0,0,1,0,1,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,10,6,D Conway,RD Gaikwad,F du Plessis,0,0,0,0,0,0,6,0,6,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,11,1,RD Gaikwad,Rachin Ravindra,RM Patidar,0,0,0,0,0,0,1,0,1,,,
1,1,Chennai Super Kings,Royal Challengers Bangalore,11,2,Rachin Ravindra,D Conway,V Kohli,0,0,0,0,0,0,2,0,2,,,
